5.730	20.175	0.239
5.740	20.027	0.239
5.750	19.926	0.239
5.760	19.837	0.239
5.770	19.779	0.239
5.780	19.738	0.239
5.790	19.740	0.239
5.800	19.760	0.239
5.810	19.817	0.239
5.820	19.888	0.239
5.830	19.994	0.239
5.840	20.116	0.239
5.850	20.268	0.239
5.860	20.430	0.239
5.870	20.621	0.239
5.880	20.821	0.239
5.890	21.046	0.239
5.900	21.285	0.239
5.910	21.545	0.239
5.920	21.818	0.239
5.930	22.087	0.239
5.940	22.372	0.239
5.950	22.654	0.239
5.960	22.953	0.239
5.970	23.229	0.239
5.980	23.515	0.239
5.990	23.776	0.239
6.000	24.044	0.239
6.010	24.295	0.239
6.020	24.538	0.239
6.030	24.759	0.239
6.040	24.981	0.239
6.050	25.159	0.239
6.060	25.342	0.239
6.070	25.477	0.239
6.080	25.613	0.239
6.090	25.705	0.239
6.100	25.780	0.239
6.110	25.821	0.239
6.120	25.849	0.239
6.130	25.834	0.239
6.140	25.805	0.239
6.150	25.743	0.239
6.160	25.663	0.239
6.170	25.549	0.239
6.180	25.422	0.239
6.190	25.261	0.239
6.200	25.087	0.239
6.210	24.882	0.239
6.220	24.674	0.239
6.230	24.427	0.239
6.240	24.188	0.239
6.250	23.928	0.239
6.260	23.663	0.239
6.270	23.382	0.239
6.280	23.108	0.239
6.290	22.827	0.239
6.300	22.549	0.239
6.310	22.259	0.239
6.320	21.982	0.239
6.330	21.704	0.239
6.340	21.448	0.239
6.350	21.193	0.239
6.360	20.963	0.239
6.370	20.736	0.239
6.380	20.554	0.239
6.390	20.362	0.239
6.400	20.218	0.239
6.410	20.074	0.239
6.420	19.969	0.239
6.430	19.881	0.239
6.440	19.818	0.239
6.450	19.764	0.239
6.460	19.753	0.239
6.470	19.760	0.239
6.480	19.809	0.239
6.490	19.867	0.239
6.500	19.968	0.239
6.510	20.078	0.239
6.520	20.238	0.239
6.530	20.408	0.239
6.540	20.643	0.239
6.550	20.846	0.239
6.560	21.068	0.239
6.570	21.298	0.239
6.580	21.523	0.239
6.590	21.766	0.239
6.600	22.013	0.239
6.610	22.295	0.239
6.620	22.568	0.239
6.630	22.867	0.239
6.640	23.161	0.239
6.650	23.481	0.239
6.660	23.982	0.239
6.670	24.328	0.239
6.680	24.566	0.239
6.690	24.801	0.239
6.700	25.043	0.239
6.710	25.213	0.239
6.720	25.344	0.239
6.730	25.312	0.239
6.740	25.421	0.239
6.750	25.544	0.239
6.760	25.640	0.239
6.770	25.724	0.239
6.780	25.773	0.239
6.790	25.818	0.239
6.800	25.834	0.239
6.810	25.840	0.239
6.820	26.001	0.239
6.830	25.960	0.239
6.840	25.837	0.239
6.850	25.487	0.239
6.860	25.300	0.239
6.870	25.108	0.239
6.880	24.895	0.239
6.890	24.687	0.239
6.900	24.444	0.239
6.910	24.214	0.239
6.920	23.954	0.239
6.930	23.693	0.239
6.940	23.416	0.239
6.950	23.152	0.239
6.960	22.870	0.239
6.970	22.596	0.239
6.980	22.306	0.239
6.990	22.037	0.239
7.000	21.760	0.239
7.010	21.504	0.239
7.020	21.248	0.239
7.030	21.014	0.239
7.040	20.784	0.239
7.050	20.592	0.239
7.060	20.397	0.239
7.070	20.244	0.239
7.080	20.096	0.239
7.090	19.986	0.239
7.100	19.894	0.239
7.110	19.831	0.239
7.120	19.781	0.239
7.130	19.771	0.239
7.140	19.773	0.239
7.150	19.814	0.239
7.160	19.867	0.239
7.170	19.959	0.239
7.180	20.065	0.239
7.190	20.208	0.239
7.200	20.357	0.239
7.210	20.548	0.239
7.220	20.739	0.239
7.230	20.965	0.239
7.240	21.195	0.239
7.250	21.446	0.239
7.260	21.697	0.239
7.270	21.970	0.239
7.280	22.252	0.239
7.290	22.525	0.239
7.300	22.806	0.239
7.310	23.084	0.239
7.320	23.369	0.239
7.330	23.642	0.239
7.340	23.915	0.239
7.350	24.162	0.239
7.360	24.418	0.239
7.370	24.648	0.239
7.380	24.869	0.239
7.390	25.060	0.239
7.400	25.247	0.239
7.410	25.391	0.239
7.420	25.527	0.239
7.430	25.628	0.239
7.440	25.711	0.239
7.450	25.760	0.239
7.460	25.801	0.239
7.470	25.799	0.239
7.480	25.784	0.239
7.490	25.730	0.239
7.500	25.672	0.239
7.510	25.571	0.239
7.520	25.465	0.239
7.530	25.330	0.239
7.540	25.169	0.239
7.550	24.986	0.239
7.560	24.768	0.239
7.570	24.530	0.239
7.580	24.287	0.239
7.590	24.018	0.239
7.600	23.754	0.239
7.610	23.476	0.239
7.620	23.208	0.239
7.630	22.921	0.239
7.640	22.644	0.239
7.650	22.366	0.239
7.660	22.111	0.239
7.670	21.859	0.239
7.680	21.620	0.239
7.690	21.360	0.239
7.700	21.113	0.239
7.710	20.866	0.239
7.720	20.644	0.239
7.730	20.435	0.239
7.740	20.274	0.239
7.750	20.121	0.239
7.760	19.999	0.239
7.770	19.902	0.239
7.780	19.840	0.239
7.790	19.790	0.239
7.800	19.792	0.239
7.810	19.807	0.239
7.820	19.848	0.239
7.830	19.871	0.239
7.840	19.942	0.239
7.850	20.030	0.239
7.860	20.170	0.239
7.870	20.305	0.239
7.880	20.488	0.239
7.890	20.671	0.239
7.900	20.896	0.239
7.910	21.117	0.239
7.920	21.369	0.239
7.930	21.624	0.239
7.940	21.906	0.239
7.950	22.188	0.239
7.960	22.452	0.239
7.970	22.729	0.239
7.980	23.002	0.239
7.990	23.288	0.239
8.000	23.556	0.239
8.010	23.825	0.239
8.020	24.072	0.239
8.030	24.328	0.239
8.040	24.558	0.239
8.050	24.783	0.239
